season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt,percent
2024,Arizona,17.0,0.67,11.0,0.31329999999999997,-6.0,91.1,29.5,0.6774,0.0,2.0,2.0,18.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,35.5,2.0,10.0,24.0,137.7,30.5,0.7826000000000001,0.0,2.0,2.0,23.0,1.0,2.0,79.0,39.5,4.0,23.0,0.4783,11.0,0.5,2.0,222.0,4.0,58.0,34.0,0.586,2.0,0.3,0.03,4.0,6.0,33.0,0.3478,8.0,0.569,0.5,2.0,0.3693,130.0,0.3333,3.0,4.0,NaN,12.3,352.0,9.7,6.1,3.9,0.0,0.5832999999999999,1.0,146.0,5.0,1.0,31.0,60.0,0.467,-0.12,2.0,0.1143,4.0,4.0,0.5,25.0,7.0,0.4167,0.3333,1.0,124.0,0.08,2.0,1.0,1.0,0.5385,7.0,3.0,0.0,1.0,7.0,5.2,4.5,5.0,0.0
2024,Atlanta,10.0,0.4572,0.0,0.35609999999999997,-8.0,59.0,24.4,0.6154,0.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,40.8,1.0,9.0,9.0,91.9,35.6,0.7391,0.0,6.0,6.0,16.0,0.0,0.0,118.0,39.3,0.0,23.0,0.375,6.0,NaN,0.0,133.0,1.0,66.0,18.0,0.273,3.0,0.5,0.05,0.0,2.0,41.0,0.5625,9.0,0.6212,NaN,0.0,0.5074000000000001,137.0,0.4706,8.0,0.0,NaN,7.8,270.0,5.8,4.1,3.3,0.07690000000000001,0.56,1.0,137.0,5.0,1.0,34.0,50.0,0.2,-0.073,4.0,0.07139999999999999,2.0,2.0,0.5,22.0,6.0,0.44,0.0,0.0,89.0,0.08,2.0,0.0,0.0,0.22219999999999998,2.0,1.0,-3.0,NaN,8.6,6.0,4.5,4.0,0.0
2024,Baltimore,10.0,0.6489,10.0,0.475,-7.0,90.8,33.71666666666667,0.6341,0.0,3.0,2.0,25.0,0.5,1.0,0.0,1.0,1.0,0.035699999999999996,1.0,0.0,37.5,2.0,13.0,14.0,101.9,26.283333333333335,0.7143,0.0,2.0,2.0,21.0,NaN,0.0,101.0,33.7,3.0,28.0,0.7143,15.0,0.3333,1.0,281.0,2.0,50.0,27.0,0.54,3.0,0.6,0.06,1.0,3.0,20.0,0.1905,4.0,0.4,0.6667000000000001,2.0,0.204,72.0,0.44439999999999996,4.0,3.0,NaN,14.1,353.0,10.0,7.1,3.6,0.0,0.5676,1.0,267.0,7.0,1.0,64.0,74.0,0.27,-0.27,2.0,0.023799999999999998,1.0,4.0,0.25,32.0,13.0,0.4324,0.5,1.0,185.0,0.0667,2.0,0.0,1.0,0.5,7.0,2.0,0.0,NaN,10.3,6.7,6.1,5.8,0.0
2024,Buffalo,10.0,0.33,24.0,0.6867,6.0,137.7,30.5,0.7826000000000001,0.0,2.0,2.0,23.0,1.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,39.5,4.0,17.0,11.0,91.1,29.5,0.6774,0.0,2.0,2.0,18.0,0.0,0.0,71.0,35.5,2.0,31.0,0.5556,10.0,0.3333,1.0,146.0,1.0,60.0,28.0,0.467,2.0,0.4,0.03,2.0,4.0,25.0,0.3889,7.0,0.4167,0.3333,1.0,0.4593,124.0,0.5385,7.0,3.0,1.0,7.0,270.0,4.7,4.5,5.0,0.0,0.431,2.0,222.0,9.0,4.0,65.0,58.0,0.586,0.12,2.0,0.08,2.0,6.0,0.6667000000000001,33.0,8.0,0.569,0.5,2.0,130.0,0.1143,4.0,0.0,1.0,0.3333,3.0,4.0,0.0,NaN,12.3,10.1,6.1,3.9,1.0
2024,Carolina,3.0,0.35,7.0,0.42829999999999996,-37.0,31.8,23.35,0.4194,0.0,1.0,1.0,11.0,0.3333,1.0,0.5,1.0,3.0,0.0,0.0,2.0,26.2,1.0,30.0,17.0,141.0,36.65,0.7917000000000001,0.0,4.0,4.0,22.0,NaN,0.0,73.0,36.5,5.0,24.0,0.3182,7.0,0.6,3.0,199.0,2.0,62.0,47.0,0.758,2.0,0.2,0.03,4.0,4.0,37.0,0.5909,13.0,0.5968,0.4,2.0,0.47490000000000004,180.0,0.5385,7.0,5.0,NaN,10.5,379.0,8.3,6.1,4.9,0.0645,0.6364,0.0,135.0,6.0,2.0,80.0,55.0,0.182,-0.576,5.0,0.1143,4.0,2.0,0.5,20.0,2.0,0.3636,1.0,1.0,58.0,0.04,1.0,0.0,1.0,0.1,1.0,1.0,-2.0,NaN,10.4,5.2,3.5,2.9,0.0
2024,Chicago,3.0,0.3689,21.0,0.4683,7.0,55.7,25.116666666666667,0.4828,1.0,3.0,3.0,11.0,1.0,2.0,0.75,1.0,1.0,0.0625,2.0,0.0,36.7,0.0,17.0,0.0,52.5,34.88333333333333,0.5938,0.0,1.0,1.0,16.0,0.5,1.0,204.0,34.0,2.0,32.0,0.375,6.0,0.5,1.0,104.0,1.0,61.0,17.0,0.279,6.0,2.0,0.1,1.0,2.0,26.0,0.5625,9.0,0.42619999999999997,0.5,1.0,0.5738,140.0,0.2143,3.0,2.0,NaN,5.5,244.0,3.3,4.0,5.4,0.0,0.5849,0.0,64.0,7.0,0.0,55.0,53.0,0.453,0.174,6.0,0.0645,2.0,1.0,0.0,22.0,6.0,0.41509999999999997,0.0,0.0,84.0,0.0857,3.0,1.0,3.0,0.15380000000000002,2.0,2.0,2.0,1.0,4.6,3.2,2.8,3.8,1.0
2024,Cincinnati,0.0,0.4533,10.0,0.4117,-6.0,86.0,25.95,0.7241,0.0,1.0,1.0,13.0,0.0,0.0,0.25,2.0,2.0,0.0,0.0,0.0,52.0,1.0,10.0,6.0,75.2,34.05,0.625,0.0,3.0,3.0,17.0,NaN,0.0,228.0,45.6,1.0,24.0,0.3529,6.0,0.0,0.0,120.0,0.0,64.0,16.0,0.25,5.0,1.3,0.08,1.0,4.0,39.0,0.6470999999999999,11.0,0.6093999999999999,1.0,1.0,0.5861999999999999,170.0,0.4,6.0,1.0,NaN,8.0,290.0,5.0,4.5,4.4,0.0,0.6667000000000001,0.0,154.0,2.0,1.0,10.0,48.0,0.208,-0.042,4.0,0.09380000000000001,3.0,2.0,0.5,16.0,5.0,0.3333,1.0,1.0,70.0,0.04,1.0,0.0,0.0,0.3636,4.0,1.0,-2.0,NaN,7.3,5.7,4.7,4.4,0.0
2024,Cleveland,3.0,0.3356,14.0,0.6944,-16.0,51.1,30.9,0.5333,0.0,1.0,1.0,15.0,0.6,3.0,0.5,0.0,2.0,0.0,0.0,2.0,37.3,2.0,20.0,13.0,85.3,29.1,0.5938,0.0,4.0,4.0,15.0,NaN,0.0,222.0,37.0,2.0,32.0,0.5333,8.0,0.3333,1.0,163.0,0.0,60.0,33.0,0.55,6.0,0.9,0.1,1.0,1.0,25.0,0.4667,7.0,0.4167,0.3333,1.0,0.3849,102.0,0.2857,4.0,3.0,NaN,8.6,265.0,5.1,4.4,4.1,0.0444,0.7286,1.0,137.0,11.0,2.0,64.0,70.0,0.243,-0.307,7.0,0.1176,6.0,2.0,1.0,19.0,5.0,0.27140000000000003,0.5,1.0,93.0,0.0857,3.0,0.0,0.0,0.1333,2.0,2.0,-2.0,NaN,5.7,3.8,3.3,4.9,0.0
2024,Dallas,20.0,0.6644,13.0,0.3056,16.0,85.3,29.1,0.5938,0.0,4.0,4.0,15.0,NaN,0.0,0.5,0.0,0.0,0.0444,2.0,0.0,37.0,2.0,3.0,14.0,51.1,30.9,0.5333,0.0,1.0,1.0,15.0,0.6,3.0,261.0,37.3,2.0,45.0,0.5333,8.0,0.5,1.0,137.0,2.0,70.0,17.0,0.243,7.0,2.3,0.1,2.0,2.0,19.0,0.3333,5.0,0.27140000000000003,0.5,1.0,0.4043,93.0,0.1333,2.0,2.0,NaN,5.7,230.0,3.0,3.3,4.9,0.0,0.5832999999999999,1.0,163.0,11.0,0.0,85.0,60.0,0.55,0.307,6.0,0.0857,3.0,1.0,1.0,25.0,7.0,0.4167,0.3333,1.0,102.0,0.1176,6.0,1.0,2.0,0.2857,4.0,3.0,2.0,NaN,8.6,5.6,4.4,4.1,1.0
2024,Denver,13.0,0.6061,7.0,0.435,-6.0,47.5,31.233333333333334,0.619,0.0,3.0,3.0,13.0,1.0,1.0,0.6667000000000001,1.0,3.0,0.04,1.0,2.0,46.1,1.0,9.0,17.0,87.3,28.766666666666666,0.72,0.0,2.0,2.0,19.0,NaN,0.0,194.0,38.8,3.0,25.0,0.5789,11.0,0.3333,1.0,158.0,3.0,60.0,26.0,0.433,5.0,1.0,0.08,0.0,1.0,33.0,0.2632,5.0,0.55,0.6667000000000001,2.0,0.4803,146.0,0.3333,4.0,3.0,0.0,8.8,304.0,6.3,5.1,4.4,0.047599999999999996,0.6377,0.0,132.0,8.0,0.0,60.0,69.0,0.29,-0.143,8.0,0.0455,2.0,4.0,0.25,25.0,7.0,0.36229999999999996,1.0,1.0,99.0,0.0741,2.0,0.0,2.0,0.2778,5.0,1.0,-1.0,NaN,5.1,3.3,3.3,4.0,0.0
2024,Detroit,10.0,0.48219999999999996,10.0,0.4407,6.0,85.0,25.066666666666666,0.6429,0.0,2.0,2.0,21.0,1.0,1.0,NaN,0.0,1.0,0.0204,1.0,1.0,47.5,3.0,3.0,17.0,85.2,34.93333333333333,0.6939,0.0,2.0,2.0,26.0,0.5,1.0,123.0,41.0,2.0,49.0,0.5769,15.0,0.5,1.0,304.0,3.0,74.0,20.0,0.27,3.0,0.8,0.04,2.0,5.0,23.0,0.3077,8.0,0.31079999999999997,0.5,1.0,0.2145,83.0,0.4167,5.0,2.0,NaN,8.9,387.0,6.2,5.2,3.6,0.035699999999999996,0.4918,1.0,200.0,6.0,2.0,56.0,61.0,0.426,0.156,4.0,0.0667,2.0,4.0,0.5,31.0,12.0,0.5082,0.6667000000000001,2.0,163.0,0.0392,2.0,0.0,1.0,0.46149999999999997,6.0,3.0,0.0,NaN,11.1,7.8,6.0,5.3,1.0
2024,Green Bay,19.0,0.4167,10.0,0.49060000000000004,-5.0,80.7,27.216666666666665,0.4857,0.0,4.0,3.0,19.0,1.0,1.0,0.6667000000000001,0.0,1.0,0.0588,2.0,1.0,37.0,3.0,17.0,17.0,80.3,32.78333333333333,0.5882000000000001,0.0,2.0,2.0,25.0,1.0,1.0,101.0,50.5,4.0,34.0,0.56,14.0,0.5,2.0,266.0,3.0,74.0,34.0,0.459,2.0,0.3,0.03,3.0,6.0,38.0,0.32,8.0,0.5135000000000001,0.5,2.0,0.35119999999999996,144.0,0.2857,4.0,4.0,NaN,13.3,410.0,7.8,5.5,3.8,0.0286,0.6379,2.0,251.0,10.0,3.0,71.0,58.0,0.5,0.041,2.0,0.0541,2.0,4.0,0.25,21.0,7.0,0.36210000000000003,0.3333,1.0,163.0,0.0556,2.0,0.0,3.0,0.2727,3.0,3.0,2.0,0.0,14.8,7.4,7.1,7.8,0.0
2024,Houston,12.0,0.5333,17.0,0.8,2.0,115.9,40.0,0.75,0.0,3.0,3.0,26.0,1.0,2.0,NaN,0.0,0.0,0.0526,1.0,0.0,28.0,3.0,7.0,20.0,101.2,20.0,0.47369999999999995,0.0,0.0,0.0,14.0,0.5,1.0,152.0,50.7,4.0,19.0,0.2857,4.0,0.5,2.0,199.0,1.0,43.0,27.0,0.628,3.0,0.8,0.07,2.0,3.0,22.0,0.6429,9.0,0.5115999999999999,0.5,2.0,0.3432,104.0,0.5,5.0,4.0,0.0,22.1,303.0,10.5,7.0,4.7,0.0,0.47369999999999995,2.0,204.0,5.0,2.0,30.0,76.0,0.382,-0.246,2.0,0.11109999999999999,4.0,3.0,1.0,40.0,11.0,0.5263,0.3333,1.0,213.0,0.09519999999999999,2.0,0.0,1.0,0.5,7.0,3.0,1.0,0.0,8.5,7.3,5.5,5.3,1.0
